,month,total_rainfall,no_of_rainy_days,mean_temp,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,year,month_of_year
92,1989-09,247.3,14,26.9,102.2,5.5,84.4,1989,09
93,1989-10,111.0,16,27.1,24.9,5.5,83.7,1989,10
94,1989-11,508.4,20,26.7,148.6,5.4,86.0,1989,11
95,1989-12,179.7,18,26.3,44.2,4.8,85.5,1989,12
96,1990-01,147.4,13,26.2,73.9,5.3,83.8,1990,01
97,1990-02,24.1,8,27.6,6.6,8.9,80.9,1990,02
98,1990-03,94.2,4,28.2,48.6,8.3,77.6,1990,03
99,1990-04,52.4,10,28.5,12.0,6.3,81.2,1990,04
100,1990-05,180.1,11,28.6,153.7,6.5,81.1,1990,05
101,1990-06,112.6,9,28.3,76.1,6.3,80.7,1990,06
102,1990-07,124.0,12,27.5,44.5,5.9,82.7,1990,07
103,1990-08,146.6,13,28.0,38.3,5.8,82.3,1990,08
104,1990-09,204.5,17,27.2,44.5,5.1,83.2,1990,09
105,1990-10,56.4,12,27.5,20.2,5.9,83.5,1990,10
106,1990-11,180.4,17,27.2,46.9,4.6,83.5,1990,11
107,1990-12,201.1,16,26.3,33.5,5.5,86.0,1990,12
108,1991-01,123.9,13,26.7,36.2,5.6,84.1,1991,01
109,1991-02,45.5,7,27.1,17.9,7.0,81.6,1991,02
110,1991-03,92.4,10,27.8,48.6,7.1,79.9,1991,03
111,1991-04,134.2,13,27.7,32.2,5.8,84.3,1991,04
112,1991-05,256.4,23,27.7,44.0,5.1,86.6,1991,05
113,1991-06,88.7,9,28.6,55.6,7.1,81.0,1991,06
114,1991-07,37.3,8,28.5,10.7,6.7,78.7,1991,07
115,1991-08,226.2,8,28.2,129.9,5.3,79.8,1991,08
116,1991-09,123.1,12,27.5,53.6,4.1,83.0,1991,09
117,1991-10,52.0,5,27.5,20.4,4.2,81.4,1991,10
118,1991-11,205.0,19,26.3,75.2,3.5,86.5,1991,11
119,1991-12,492.3,19,25.6,79.4,3.0,90.7,1991,12
120,1992-01,83.9,9,26.6,56.2,6.6,82.4,1992,01
121,1992-02,62.4,4,27.5,43.2,7.7,80.5,1992,02
122,1992-03,67.6,6,28.2,35.1,7.4,80.6,1992,03
123,1992-04,160.3,13,28.4,94.7,6.4,82.4,1992,04
124,1992-05,63.1,13,28.1,13.7,5.7,83.3,1992,05
125,1992-06,162.8,14,28.0,38.4,5.5,82.7,1992,06
126,1992-07,290.8,19,27.3,97.3,4.7,83.8,1992,07
127,1992-08,76.1,11,27.8,31.0,5.7,81.1,1992,08
128,1992-09,83.6,13,27.3,17.5,5.0,82.9,1992,09
129,1992-10,233.2,20,27.4,45.5,4.5,82.0,1992,10
130,1992-11,474.3,18,26.1,120.6,3.7,87.7,1992,11
131,1992-12,502.7,23,25.5,105.7,3.4,90.3,1992,12
132,1993-01,176.4,11,26.2,37.2,5.5,85.7,1993,01
133,1993-02,69.2,8,26.7,27.0,8.5,80.5,1993,02
134,1993-03,250.5,14,26.7,56.9,5.4,86.3,1993,03
135,1993-04,283.9,20,27.6,56.7,6.4,84.5,1993,04
136,1993-05,129.9,10,28.2,37.2,6.0,82.9,1993,05
137,1993-06,115.5,17,28.5,29.4,6.2,80.9,1993,06
138,1993-07,240.0,15,27.9,46.4,5.2,83.2,1993,07
139,1993-08,106.8,11,28.6,53.5,7.4,79.4,1993,08
140,1993-09,61.7,7,27.9,42.0,5.9,81.4,1993,09
141,1993-10,175.5,13,27.5,62.7,5.2,84.3,1993,10
142,1993-11,250.8,18,26.9,61.3,4.7,87.4,1993,11
143,1993-12,308.5,19,26.5,67.6,4.2,87.4,1993,12
144,1994-01,56.9,7,26.9,17.5,6.1,82.1,1994,01
145,1994-02,133.5,15,27.0,26.3,6.4,84.5,1994,02
146,1994-03,288.2,19,26.8,64.2,3.5,87.1,1994,03
147,1994-04,154.0,15,27.9,46.3,5.8,84.8,1994,04
148,1994-05,169.6,16,28.1,45.1,5.0,84.8,1994,05
149,1994-06,184.7,14,28.1,61.1,6.0,83.5,1994,06
150,1994-07,53.8,6,28.4,17.0,7.6,78.9,1994,07
151,1994-08,45.1,12,28.1,15.5,6.5,80.0,1994,08
152,1994-09,23.7,6,28.3,11.3,3.8,78.7,1994,09
153,1994-10,84.7,11,27.9,35.4,4.5,81.5,1994,10
154,1994-11,322.2,21,26.7,178.3,4.5,88.4,1994,11
155,1994-12,425.4,18,26.9,133.8,5.3,85.5,1994,12
156,1995-01,349.4,21,26.8,108.3,5.0,86.2,1995,01
157,1995-02,334.0,16,26.5,159.3,4.9,87.5,1995,02
158,1995-03,67.7,10,27.6,31.1,5.9,83.9,1995,03
159,1995-04,242.3,16,27.9,73.6,5.6,85.3,1995,04
160,1995-05,84.4,11,28.5,32.8,6.0,83.7,1995,05
161,1995-06,63.7,12,28.9,45.0,6.6,81.9,1995,06
162,1995-07,173.6,13,28.0,52.3,5.2,82.6,1995,07
163,1995-08,211.6,21,27.4,37.9,4.1,85.6,1995,08
164,1995-09,29.5,7,28.3,5.7,5.8,81.6,1995,09
165,1995-10,101.1,12,27.8,37.1,4.7,82.8,1995,10
166,1995-11,372.8,20,27.0,198.6,3.7,86.8,1995,11
167,1995-12,302.5,20,26.3,55.6,3.1,86.6,1995,12
168,1996-01,173.2,10,26.2,39.0,5.2,84.2,1996,01
169,1996-02,180.2,11,26.5,53.0,5.8,84.6,1996,02
170,1996-03,129.7,8,27.8,61.8,7.7,81.0,1996,03
171,1996-04,178.2,15,27.8,55.7,5.4,85.5,1996,04
172,1996-05,107.5,15,28.5,18.6,7.0,83.7,1996,05
173,1996-06,265.8,15,28.3,94.3,5.9,84.3,1996,06
174,1996-07,162.3,10,28.3,55.3,6.7,81.9,1996,07
175,1996-08,258.4,18,27.4,64.6,5.0,83.4,1996,08
176,1996-09,297.0,18,27.7,66.5,4.8,82.2,1996,09
177,1996-10,300.0,19,27.5,45.8,4.3,83.0,1996,10
178,1996-11,180.2,16,27.3,60.5,4.4,83.5,1996,11
179,1996-12,185.5,15,26.6,72.4,4.5,82.9,1996,12
180,1997-01,15.4,3,27.1,13.9,7.7,77.3,1997,01
181,1997-02,105.4,8,27.4,35.7,4.9,80.8,1997,02
182,1997-03,34.3,10,28.1,17.4,7.0,79.6,1997,03
183,1997-04,118.4,12,28.1,44.6,5.6,82.7,1997,04
184,1997-05,41.6,6,29.3,35.6,6.7,77.7,1997,05
185,1997-06,78.9,12,29.3,25.0,7.3,76.7,1997,06
186,1997-07,18.6,9,28.8,5.4,6.5,76.5,1997,07
187,1997-08,86.6,9,28.8,61.4,5.7,78.2,1997,08
188,1997-09,31.1,3,28.8,24.3,3.2,77.0,1997,09
189,1997-10,78.4,8,28.2,36.5,3.2,81.0,1997,10
190,1997-11,158.3,13,27.8,53.6,5.4,82.8,1997,11
191,1997-12,351.9,23,27.3,65.8,5.3,85.3,1997,12
192,1998-01,268.8,13,28.0,79.7,7.4,83.2,1998,01
193,1998-02,32.5,5,28.9,11.9,8.9,78.3,1998,02
194,1998-03,58.8,7,29.5,20.9,7.6,77.8,1998,03
195,1998-04,187.7,13,29.2,64.9,6.7,81.8,1998,04
196,1998-05,370.8,18,29.4,83.7,5.9,82.3,1998,05
197,1998-06,198.8,15,28.6,42.8,5.3,82.1,1998,06
198,1998-07,259.2,18,28.1,55.8,5.1,81.8,1998,07
199,1998-08,195.0,18,27.5,35.5,4.6,85.4,1998,08
200,1998-09,258.2,17,27.9,52.0,4.5,84.1,1998,09
201,1998-10,222.7,20,28.0,32.4,5.0,82.3,1998,10
202,1998-11,107.2,11,27.9,57.5,4.6,81.9,1998,11
203,1998-12,463.4,22,26.6,84.4,3.1,88.5,1998,12
204,1999-01,193.9,19,26.6,52.5,3.9,88.3,1999,01
205,1999-02,67.4,9,27.2,32.1,6.7,82.4,1999,02
206,1999-03,181.4,16,27.1,52.4,4.3,87.5,1999,03
207,1999-04,88.5,14,28.3,29.2,5.8,82.6,1999,04
208,1999-05,157.1,13,28.0,42.8,5.7,84.4,1999,05
209,1999-06,103.4,13,28.2,34.5,6.0,81.9,1999,06
210,1999-07,225.4,11,27.8,51.4,6.8,82.7,1999,07
211,1999-08,204.0,13,27.5,42.4,5.7,84.1,1999,08
212,1999-09,125.9,13,27.9,41.5,6.5,81.7,1999,09
213,1999-10,205.0,20,27.2,32.8,4.7,84.6,1999,10
214,1999-11,241.5,19,27.3,39.0,4.7,84.4,1999,11
215,1999-12,340.5,17,26.8,76.9,4.1,85.3,1999,12
216,2000-01,275.2,14,26.3,127.6,4.0,86.9,2000,01
217,2000-02,237.8,18,26.6,39.9,5.8,86.5,2000,02
218,2000-03,238.3,15,27.2,37.9,5.8,85.8,2000,03
219,2000-04,311.6,20,27.5,87.4,5.3,85.6,2000,04
220,2000-05,96.8,10,28.6,36.7,6.8,82.4,2000,05
221,2000-06,157.5,16,27.6,41.7,4.6,84.3,2000,06
222,2000-07,116.1,12,28.1,34.6,6.5,82.6,2000,07
223,2000-08,113.5,18,27.5,28.1,5.1,83.8,2000,08
224,2000-09,81.1,12,28.0,25.7,6.2,82.2,2000,09
225,2000-10,120.9,14,27.8,38.3,4.0,82.1,2000,10
226,2000-11,385.7,21,27.3,72.0,3.7,87.1,2000,11
227,2000-12,236.0,18,27.0,45.8,4.2,87.6,2000,12
228,2001-01,425.8,21,26.5,125.4,4.4,87.4,2001,01
229,2001-02,86.6,11,27.0,28.2,4.8,83.6,2001,02
230,2001-03,297.3,20,27.5,41.1,5.4,84.5,2001,03
231,2001-04,203.3,18,27.7,68.9,5.3,86.0,2001,04
232,2001-05,164.9,12,28.5,56.1,6.0,85.0,2001,05
233,2001-06,137.1,11,28.2,49.6,4.9,82.5,2001,06
234,2001-07,111.3,9,28.4,44.8,8.1,80.8,2001,07
235,2001-08,158.3,14,28.0,36.6,4.9,83.7,2001,08
236,2001-09,162.0,13,28.0,74.3,6.2,82.3,2001,09
237,2001-10,252.2,20,27.6,77.2,4.4,83.7,2001,10
238,2001-11,175.3,15,27.2,102.6,3.7,84.9,2001,11
239,2001-12,609.0,20,26.7,211.1,4.5,86.8,2001,12
240,2002-01,221.2,11,27.0,83.8,6.9,83.6,2002,01
241,2002-02,50.8,2,27.3,41.7,7.4,80.9,2002,02
242,2002-03,55.6,8,28.2,26.4,7.6,80.8,2002,03
243,2002-04,116.5,13,28.6,39.4,6.6,82.3,2002,04
244,2002-05,236.6,13,28.9,75.9,6.2,82.3,2002,05
245,2002-06,83.1,12,28.7,45.8,6.3,82.1,2002,06
246,2002-07,233.7,11,28.4,69.5,6.8,82.7,2002,07
247,2002-08,54.2,14,28.5,17.8,6.7,79.2,2002,08
248,2002-09,124.2,9,28.1,38.9,5.5,81.7,2002,09
249,2002-10,10.8,7,28.7,3.2,6.2,79.8,2002,10
250,2002-11,307.2,15,27.4,84.0,4.6,85.8,2002,11
251,2002-12,255.0,24,27.2,38.6,4.8,88.7,2002,12
252,2003-01,444.2,20,26.7,194.4,4.7,86.9,2003,01
253,2003-02,172.9,13,27.1,82.2,5.8,85.0,2003,02
254,2003-03,154.6,11,28.1,38.3,6.9,83.8,2003,03
255,2003-04,159.9,20,27.9,42.9,5.1,86.7,2003,04
256,2003-05,81.8,11,29.2,33.0,5.8,81.7,2003,05
257,2003-06,50.3,12,28.9,23.2,7.0,78.5,2003,06
258,2003-07,170.4,14,28.1,30.9,5.6,81.7,2003,07
259,2003-08,193.6,13,28.2,64.4,6.1,83.1,2003,08
260,2003-09,205.3,15,27.6,60.0,5.0,84.8,2003,09
261,2003-10,351.4,21,27.6,56.6,5.1,84.9,2003,10
262,2003-11,133.8,19,27.1,41.3,4.2,87.3,2003,11
263,2003-12,273.0,17,26.5,92.1,3.9,87.2,2003,12
264,2004-01,600.9,13,26.9,177.8,6.7,86.7,2004,01
265,2004-02,31.9,4,27.6,19.2,7.7,80.5,2004,02
266,2004-03,269.4,16,27.7,122.8,4.8,85.8,2004,03
267,2004-04,57.1,9,28.9,18.1,7.0,82.3,2004,04
268,2004-05,137.6,13,28.9,73.4,6.0,82.1,2004,05
269,2004-06,127.2,8,29.0,68.1,6.3,79.8,2004,06
270,2004-07,166.6,20,27.3,34.3,4.2,85.3,2004,07
271,2004-08,185.2,8,28.3,111.5,7.3,80.3,2004,08
272,2004-09,128.9,14,27.8,29.1,5.9,83.6,2004,09
273,2004-10,125.6,13,27.8,25.3,5.0,83.9,2004,10
274,2004-11,166.2,15,27.3,62.4,5.8,86.1,2004,11
275,2004-12,139.8,14,26.8,36.4,4.9,85.2,2004,12
276,2005-01,163.2,8,26.6,96.7,6.5,83.3,2005,01
277,2005-02,8.4,3,28.5,7.2,9.1,77.7,2005,02
278,2005-03,82.4,12,28.5,20.5,7.2,80.3,2005,03
279,2005-04,81.7,10,28.7,49.6,7.0,81.0,2005,04
280,2005-05,331.1,20,28.5,58.7,5.5,84.6,2005,05
281,2005-06,82.3,15,28.8,27.6,5.4,82.7,2005,06
282,2005-07,104.0,15,28.0,26.3,5.4,84.0,2005,07
283,2005-08,58.5,13,28.2,13.8,6.5,82.9,2005,08
284,2005-09,175.7,18,28.2,43.4,6.2,84.2,2005,09
285,2005-10,314.5,19,27.6,76.2,5.1,85.2,2005,10
286,2005-11,362.9,23,27.3,133.8,4.4,86.4,2005,11
287,2005-12,166.0,19,27.3,47.3,4.5,85.6,2005,12
288,2006-01,454.4,20,26.5,131.7,4.8,87.8,2006,01
289,2006-02,115.5,8,27.5,44.5,7.4,84.0,2006,02
290,2006-03,83.1,9,28.3,35.7,7.1,81.3,2006,03
291,2006-04,239.8,18,27.6,43.3,5.3,87.0,2006,04
292,2006-05,205.7,14,28.1,36.6,5.0,85.2,2006,05
293,2006-06,236.8,16,27.8,37.3,5.5,86.3,2006,06
294,2006-07,153.8,15,28.4,54.8,6.9,83.8,2006,07
295,2006-08,127.3,14,28.3,30.4,6.7,81.9,2006,08
296,2006-09,83.3,12,28.0,32.2,5.3,81.0,2006,09
297,2006-10,102.0,8,28.3,37.8,4.8,80.9,2006,10
298,2006-11,185.6,18,27.3,64.0,5.6,87.4,2006,11
299,2006-12,765.9,22,26.6,198.0,3.2,88.5,2006,12
300,2007-01,450.1,20,26.5,143.8,4.1,86.8,2007,01
301,2007-02,105.5,3,27.3,51.4,7.6,82.5,2007,02
302,2007-03,269.1,21,27.5,68.8,5.8,84.9,2007,03
303,2007-04,240.2,14,28.1,102.4,5.9,84.7,2007,04
304,2007-05,127.2,16,28.3,21.9,5.5,84.8,2007,05
305,2007-06,139.0,12,28.4,38.0,6.0,82.8,2007,06
306,2007-07,141.7,19,27.7,23.0,3.8,84.8,2007,07
307,2007-08,190.7,20,27.7,55.9,5.7,82.9,2007,08
308,2007-09,149.0,13,27.8,52.1,5.8,83.3,2007,09
309,2007-10,237.2,16,27.8,51.8,5.6,83.2,2007,10
310,2007-11,367.9,21,26.9,60.1,3.5,86.5,2007,11
311,2007-12,468.6,20,26.4,159.0,4.5,86.8,2007,12
312,2008-01,262.6,19,26.8,123.1,6.1,86.0,2008,01
313,2008-02,129.2,8,26.7,48.5,5.5,82.9,2008,02
314,2008-03,294.1,16,26.5,48.1,4.3,87.1,2008,03
315,2008-04,87.2,13,28.1,34.2,6.0,82.0,2008,04
316,2008-05,124.9,11,28.8,42.3,6.6,79.1,2008,05
317,2008-06,118.3,12,28.2,45.2,5.6,81.5,2008,06
318,2008-07,89.1,15,27.8,23.5,4.9,81.3,2008,07
319,2008-08,327.3,18,27.4,133.9,5.5,83.8,2008,08
320,2008-09,164.4,18,27.7,43.5,5.1,82.7,2008,09
321,2008-10,159.5,19,27.6,41.6,4.5,84.9,2008,10
322,2008-11,324.3,16,27.3,63.3,4.0,85.9,2008,11
323,2008-12,244.2,17,26.9,52.0,4.8,83.7,2008,12
324,2009-01,38.3,5,26.8,36.0,6.6,79.1,2009,01
325,2009-02,201.8,8,27.3,74.2,6.4,80.7,2009,02
326,2009-03,223.3,19,27.2,56.3,5.5,85.4,2009,03
327,2009-04,183.7,12,28.5,86.6,6.2,82.2,2009,04
328,2009-05,198.6,17,28.7,41.3,6.6,83.0,2009,05
329,2009-06,21.8,8,29.1,5.8,7.0,79.8,2009,06
330,2009-07,161.0,16,28.3,24.4,6.2,80.8,2009,07
331,2009-08,177.8,12,28.3,35.5,6.5,80.7,2009,08
332,2009-09,109.6,13,28.3,63.0,5.6,82.0,2009,09
333,2009-10,133.4,15,28.2,38.4,5.4,82.8,2009,10
334,2009-11,281.8,23,27.2,61.4,4.7,85.6,2009,11
335,2009-12,189.8,18,27.1,42.6,4.7,86.3,2009,12
336,2010-01,69.5,10,27.5,24.5,7.1,82.1,2010,01
337,2010-02,6.3,4,28.9,2.9,8.8,77.3,2010,02
338,2010-03,238.0,11,28.6,57.6,6.1,79.9,2010,03
339,2010-04,158.5,18,28.6,40.0,6.2,84.1,2010,04
340,2010-05,157.5,17,29.2,90.5,6.5,82.2,2010,05
341,2010-06,240.5,19,28.3,43.0,5.1,83.9,2010,06
342,2010-07,298.5,18,27.7,121.1,4.6,84.8,2010,07
343,2010-08,158.4,16,27.9,60.2,5.4,84.2,2010,08
344,2010-09,121.5,13,28.0,28.0,5.7,82.5,2010,09
345,2010-10,166.2,17,28.3,58.1,4.2,82.3,2010,10
346,2010-11,278.8,21,27.4,41.6,5.0,85.9,2010,11
347,2010-12,181.4,14,26.8,85.8,3.6,85.3,2010,12
348,2011-01,513.2,17,26.3,216.2,4.5,85.8,2011,01
349,2011-02,23.0,8,27.3,17.4,7.5,81.1,2011,02
350,2011-03,256.6,22,27.1,54.0,4.6,85.5,2011,03
351,2011-04,217.8,12,27.9,61.8,7.2,83.9,2011,04
352,2011-05,127.0,15,28.5,34.2,5.9,85.3,2011,05
353,2011-06,213.0,15,28.4,82.0,5.0,83.7,2011,06
