,month,total_rainfall,no_of_rainy_days,mean_temp,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,year,month_of_year
405,2015-10,87.2,9,28.7,28.6,4.7,75.4,2015,10
406,2015-11,72.6,13,28.0,25.8,4.8,79.1,2015,11
407,2015-12,302.3,19,27.7,40.4,5.3,81.1,2015,12
408,2016-01,126.6,15,28.3,39.6,7.2,79.6,2016,01
409,2016-02,186.0,10,27.8,71.8,6.5,78.8,2016,02
410,2016-03,6.2,6,29.0,2.4,8.0,74.7,2016,03
411,2016-04,89.8,14,29.4,18.2,7.0,75.6,2016,04
412,2016-05,193.8,12,29.3,54.8,6.2,77.4,2016,05
413,2016-06,162.8,13,28.5,67.8,5.4,77.7,2016,06
414,2016-07,168.6,20,28.4,59.4,6.3,77.3,2016,07
415,2016-08,139.2,15,28.9,30.6,6.7,74.0,2016,08
416,2016-09,118.9,15,28.3,34.0,5.5,73.9,2016,09
417,2016-10,181.0,16,28.3,75.4,4.6,72.0,2016,10
418,2016-11,290.2,20,27.4,65.6,3.5,77.6,2016,11
419,2016-12,292.6,23,27.4,73.0,5.1,72.8,2016,12
420,2017-01,197.6,21,26.9,60.6,4.8,84.8,2017,01
421,2017-02,158.4,15,26.9,31.0,7.1,83.2,2017,02
422,2017-03,136.2,11,27.4,30.2,6.1,82.5,2017,03
423,2017-04,208.6,21,27.8,42.8,5.3,83.5,2017,04
424,2017-05,190.0,15,28.5,44.8,5.9,82.8,2017,05
425,2017-06,106.0,10,28.5,29.6,6.3,80.2,2017,06
426,2017-07,79.6,9,28.3,30.2,7.0,79.6,2017,07
427,2017-08,84.2,18,28.1,29.4,6.1,79.9,2017,08
428,2017-09,124.4,19,28.0,20.2,5.7,81.0,2017,09
429,2017-10,120.8,18,27.9,31.2,5.5,82.5,2017,10
430,2017-11,268.6,24,27.1,45.2,4.2,86.3,2017,11
431,2017-12,371.2,23,27.0,69.8,5.6,85.2,2017,12
432,2018-01,287.0,25,26.1,45.8,4.1,86.6,2018,01
433,2018-02,14.8,5,27.2,13.0,8.0,77.2,2018,02
434,2018-03,44.6,10,28.0,15.2,6.4,78.4,2018,03
435,2018-04,61.2,14,28.5,14.0,6.8,78.5,2018,04
436,2018-05,132.2,19,28.7,47.4,5.8,79.0,2018,05
437,2018-06,182.6,17,28.4,46.8,4.1,79.3,2018,06
438,2018-07,143.2,10,28.5,32.4,6.1,77.7,2018,07
439,2018-08,121.6,11,28.5,34.6,6.7,77.0,2018,08
440,2018-09,144.4,13,28.0,45.0,6.0,77.1,2018,09
441,2018-10,234.4,18,27.9,60.6,6.1,79.7,2018,10
442,2018-11,169.6,27,27.3,20.6,3.8,83.2,2018,11
443,2018-12,172.6,19,27.6,43.8,5.1,81.5,2018,12
444,2019-01,63.6,9,28.0,38.2,7.1,75.6,2019,01
445,2019-02,31.6,5,28.2,13.4,9.2,74.1,2019,02
446,2019-03,72.2,6,28.7,29.0,8.3,72.3,2019,03
447,2019-04,174.8,9,28.6,52.4,5.9,77.6,2019,04
448,2019-05,69.0,13,29.3,17.2,7.0,79.2,2019,05
449,2019-06,173.8,16,28.4,37.6,5.3,79.5,2019,06
450,2019-07,12.2,8,29.0,6.6,7.5,75.2,2019,07
451,2019-08,11.8,6,29.1,3.8,7.6,72.1,2019,08
452,2019-09,22.8,4,29.0,16.4,6.7,73.0,2019,09
453,2019-10,176.8,15,28.1,92.2,6.5,78.1,2019,10
454,2019-11,137.4,15,28.0,73.4,5.5,79.2,2019,11
455,2019-12,421.5,14,26.7,74.2,4.8,83.9,2019,12
456,2020-01,88.4,6,27.7,38.0,7.1,77.9,2020,01
457,2020-02,65.0,8,27.9,23.8,8.3,76.0,2020,02
458,2020-03,108.8,8,28.6,47.4,7.6,75.2,2020,03
459,2020-04,188.0,12,28.9,51.8,7.1,76.4,2020,04
460,2020-05,255.6,16,28.9,53.8,5.7,79.1,2020,05
461,2020-06,233.8,21,28.1,41.0,4.3,80.2,2020,06
462,2020-07,140.8,22,27.9,30.4,5.7,78.2,2020,07
463,2020-08,103.4,12,28.3,34.6,6.4,76.8,2020,08
464,2020-09,150.2,18,27.5,32.8,4.8,79.0,2020,09
465,2020-10,78.8,16,28.3,19.0,4.3,75.4,2020,10
466,2020-11,220.6,19,27.2,64.2,4.0,81.7,2020,11
467,2020-12,253.2,20,27.2,58.2,5.2,81.1,2020,12
468,2021-01,692.8,17,26.0,210.6,4.2,82.6,2021,01
469,2021-02,1.0,2,27.3,0.6,8.2,73.8,2021,02
470,2021-03,182.4,14,27.9,38.0,7.3,76.6,2021,03
471,2021-04,290.4,14,28.2,83.8,6.8,77.4,2021,04
472,2021-05,245.8,13,28.7,49.8,6.0,79.3,2021,05
473,2021-06,93.4,20,28.5,23.8,6.5,77.8,2021,06
474,2021-07,195.8,12,28.6,75.0,6.8,76.5,2021,07
475,2021-08,293.6,24,27.6,71.4,4.8,80.4,2021,08
476,2021-09,205.4,14,28.3,63.4,6.4,77.3,2021,09
477,2021-10,177.0,14,28.5,59.6,6.2,78.3,2021,10
478,2021-11,312.4,23,27.6,47.8,4.9,81.7,2021,11
479,2021-12,119.6,15,27.7,46.8,5.4,79.7,2021,12
480,2022-01,99.8,9,27.4,50.0,8.3,77.4,2022,01
481,2022-02,175.0,16,27.3,29.6,5.9,80.3,2022,02
482,2022-03,163.2,21,28.1,36.2,6.4,79.2,2022,03
483,2022-04,239.6,18,28.1,58.8,5.2,80.0,2022,04
484,2022-05,102.0,12,29.2,44.6,6.7,76.5,2022,05
485,2022-06,211.8,17,27.9,59.4,4.7,79.1,2022,06
486,2022-07,145.2,16,28.6,27.8,6.2,76.8,2022,07
487,2022-08,141.4,15,28.1,32.4,5.5,77.4,2022,08
488,2022-09,121.0,14,27.9,38.2,3.8,76.9,2022,09
489,2022-10,279.0,27,27.6,38.8,3.5,78.7,2022,10
490,2022-11,313.8,26,27.4,53.0,3.8,79.9,2022,11
491,2022-12,215.4,19,26.8,37.0,3.6,81.2,2022,12
